date,place,risk_score
2020-09-04,El Segundo,21.140078952075093
2020-08-31,Encino,51.09540291182792
2020-09-01,Encino,48.58973937772824
2020-09-02,Encino,44.860793137701286
2020-09-03,Encino,39.836532295671766
2020-09-04,Encino,34.74953331326895
2020-08-31,Gardena,65.96177437758666
2020-09-01,Gardena,65.34176107271455
2020-09-02,Gardena,60.05370012658346
2020-09-03,Gardena,53.24776416241835
2020-09-04,Gardena,46.59660230430199
2020-08-31,Glendale,307.2784545550178
2020-09-01,Glendale,286.3836841138113
2020-09-02,Glendale,264.41014392905186
2020-09-03,Glendale,235.31228906559562
2020-09-04,Glendale,205.65881060578198
2020-08-31,Glendora,128.94321764735076
2020-09-01,Glendora,122.2594423768555
2020-09-02,Glendora,113.63731409996893
2020-09-03,Glendora,101.63263678392372
2020-09-04,Glendora,89.49861430948128
2020-08-31,Granada Hills,174.9267218178689
2020-09-01,Granada Hills,179.84989341226105
2020-09-02,Granada Hills,171.15578914709616
2020-09-03,Granada Hills,157.75883572240167
2020-09-04,Granada Hills,143.5795440138497
2020-08-31,Harbor City,69.80546023827193
2020-09-01,Harbor City,63.83031856246356
2020-09-02,Harbor City,57.649367039758815
2020-09-03,Harbor City,50.057971668210804
2020-09-04,Harbor City,42.63800050204764
2020-08-31,Hawthorne,217.39857364887257
2020-09-01,Hawthorne,205.18971117619353
2020-09-02,Hawthorne,191.57909809014745
2020-09-03,Hawthorne,172.41899707269044
2020-09-04,Hawthorne,152.5853550476481
2020-08-31,Hermosa Beach,28.48472632535473
2020-09-01,Hermosa Beach,29.13942654343167
2020-09-02,Hermosa Beach,27.51125488170063
2020-09-03,Hermosa Beach,25.164323614477894
2020-09-04,Hermosa Beach,22.738289330889952
2020-08-31,Hidden Hills,0.5624730504327727
2020-09-01,Hidden Hills,0.5167255242997688
2020-09-02,Hidden Hills,0.47129042663098114
2020-09-03,Hidden Hills,0.41362959190095167
2020-09-04,Hidden Hills,0.35645228267942225
2020-08-31,Huntington Park,331.426024897606
2020-09-01,Huntington Park,312.38846215729194
2020-09-02,Huntington Park,286.38193332619403
2020-09-03,Huntington Park,252.9967272431721
2020-09-04,Huntington Park,219.85521219538225
2020-08-31,Industry,6.4506122949033236
2020-09-01,Industry,6.016598591246477
2020-09-02,Industry,5.5093104480739825
2020-09-03,Industry,4.857852485295313
2020-09-04,Industry,4.2078691500253065
2020-08-31,Inglewood,315.81986047585724
2020-09-01,Inglewood,296.9282555617274
2020-09-02,Inglewood,274.6219526026565
2020-09-03,Inglewood,244.40126089115645
2020-09-04,Inglewood,213.98515457723303
2020-08-31,Irwindale,5.06658213558428
2020-09-01,Irwindale,4.917902136696808
2020-09-02,Irwindale,4.617986303177313
2020-09-03,Irwindale,4.188399855900547
2020-09-04,Irwindale,3.7299778091343327
2020-08-31,La Canada Flintridge,26.55693890228839
2020-09-01,La Canada Flintridge,27.105699317428286
2020-09-02,La Canada Flintridge,25.56651999391498
2020-09-03,La Canada Flintridge,23.27778257792374
2020-09-04,La Canada Flintridge,20.913154883453945
2020-08-31,La Habra Heights,3.7889326941937593
2020-09-01,La Habra Heights,3.3763138089359894
2020-09-02,La Habra Heights,3.0856353877124683
2020-09-03,La Habra Heights,2.709548807048882
2020-09-04,La Habra Heights,2.330403314317406
2020-08-31,La Puente,241.83559381178557
2020-09-01,La Puente,231.6959572598157
2020-09-02,La Puente,217.65475454395326
2020-09-03,La Puente,197.36150452898968
2020-09-04,La Puente,176.22591828316416
2020-08-31,La Verne,77.53419954658213
2020-09-01,La Verne,73.02262428249436
2020-09-02,La Verne,67.51339049552034
2020-09-03,La Verne,60.131784945105665
2020-09-04,La Verne,52.70991678848898
2020-08-31,Lakewood,102.7545661506868
2020-09-01,Lakewood,101.33875698857649
2020-09-02,Lakewood,93.59085958854956
2020-09-03,Lakewood,83.34364336183083
2020-09-04,Lakewood,73.19398734877728
2020-08-31,Lancaster,171.66654059518856
2020-09-01,Lancaster,170.04576298399726
2020-09-02,Lancaster,158.55537409203353
2020-09-03,Lancaster,142.78247350115646
2020-09-04,Lancaster,126.76000111314431
2020-08-31,Lawndale,125.05441098339999
2020-09-01,Lawndale,114.73073228037877
2020-09-02,Lawndale,107.47566208354517
2020-09-03,Lawndale,96.8959780387938
2020-09-04,Lawndale,85.68112429075684
2020-08-31,Lomita,39.747638366754046
2020-09-01,Lomita,39.77931196099997
2020-09-02,Lomita,36.575222359310985
2020-09-03,Lomita,32.24531910958818
2020-09-04,Lomita,28.12541232391344
2020-08-31,Lynwood,532.4803601438866
2020-09-01,Lynwood,501.1466025892061
2020-09-02,Lynwood,459.8729414625348
2020-09-03,Lynwood,406.37897171281736
2020-09-04,Lynwood,353.16648411630337
2020-08-31,Malibu,34.78851439790525
2020-09-01,Malibu,33.57762414171086
2020-09-02,Malibu,31.097175435641347
2020-09-03,Malibu,27.819631628523958
2020-09-04,Malibu,24.493669049649057
2020-08-31,Newhall,0.9789789600043681
2020-09-01,Newhall,0.9217097543589996
2020-09-02,Newhall,0.8445171237939698
2020-09-03,Newhall,0.7477555343127154
2020-09-04,Newhall,0.6532202108579551
2020-08-31,North Hills,163.21937429858846
2020-09-01,North Hills,156.89279661271453
2020-09-02,North Hills,145.77120358523393
2020-09-03,North Hills,130.4135731657406
2020-09-04,North Hills,114.64427209363967
2020-08-31,North Hollywood,343.2846694344073
2020-09-01,North Hollywood,326.1135278100192
2020-09-02,North Hollywood,305.3305537334393
2020-09-03,North Hollywood,275.5931177375239
2020-09-04,North Hollywood,244.51730561006252
2020-08-31,Northridge,161.15654099222033
2020-09-01,Northridge,147.75737030518192
2020-09-02,Northridge,136.9751705209799
2020-09-03,Northridge,122.08523379074865
2020-09-04,Northridge,106.84294356258918
2020-08-31,Pacific Palisades,37.48948157218983
2020-09-01,Pacific Palisades,35.813198019886265
2020-09-02,Pacific Palisades,33.15707293527398
2020-09-03,Pacific Palisades,29.593659586186565
2020-09-04,Pacific Palisades,25.99124605325737
2020-08-31,Pacoima,167.8421880560848
2020-09-01,Pacoima,170.32425058283167
2020-09-02,Pacoima,156.6002927765477
2020-09-03,Pacoima,139.49722672166854
2020-09-04,Pacoima,122.29890899140902
2020-08-31,Palmdale,659.1048003485164
2020-09-01,Palmdale,621.1874083560732
2020-09-02,Palmdale,583.638204785824
2020-09-03,Palmdale,528.1521449440925
2020-09-04,Palmdale,469.2405732555316
2020-08-31,Panorama City,254.84249872694875
2020-09-01,Panorama City,228.27825471675283
2020-09-02,Panorama City,210.7249275728274
2020-09-03,Panorama City,187.0749064319588
2020-09-04,Panorama City,162.8019088073374
2020-08-31,Paramount,166.03501343394112
2020-09-01,Paramount,157.70755803123836
2020-09-02,Paramount,147.35013223786856
2020-09-03,Paramount,133.07327184525036
2020-09-04,Paramount,118.08358313535815
2020-08-31,Pico Rivera,87.44641840123137
2020-09-01,Pico Rivera,90.35503707087545
2020-09-02,Pico Rivera,80.76517381484894
2020-09-03,Pico Rivera,69.61092804385405
2020-09-04,Pico Rivera,59.31391896070902
2020-08-31,Playa Del Rey,13.412102492910066
2020-09-01,Playa Del Rey,13.07331065120609
2020-09-02,Playa Del Rey,12.095787974970255
2020-09-03,Playa Del Rey,10.817985188252282
2020-09-04,Playa Del Rey,9.541267522982384
2020-08-31,Playa Vista,37.4870402159825
2020-09-01,Playa Vista,41.64397236073293
2020-09-02,Playa Vista,38.82456743508506
2020-09-03,Playa Vista,35.238076331235376
2020-09-04,Playa Vista,31.7238472451624
2020-08-31,Pomona,391.3428898509823
2020-09-01,Pomona,389.9404721629784
2020-09-02,Pomona,367.47120315943573
2020-09-03,Pomona,335.25392733437525
2020-09-04,Pomona,301.8715542680579
2020-08-31,Porter Ranch,66.33766522993666
2020-09-01,Porter Ranch,61.19586334286765
2020-09-02,Porter Ranch,56.443973947955115
2020-09-03,Porter Ranch,50.107833383352435
2020-09-04,Porter Ranch,43.65572615871756
